periode_pengujian,nama_lokasi,parameter,satuan,nilai,indeks_pencemaran
Periode 1, Utan Kayu Utara ,Seng (Zn),(mg/L),0.02,2.33
Periode 1, Utan Kayu Utara ,Sulfat,(mg/L),109.59,2.33
Periode 1, Utan Kayu Utara ,Senyawa Aktif Biru Metilen,(mg/L),0.04,2.33
Periode 1, Utan Kayu Utara ,Organik (KMnO4),(mg/L),0.15,2.33
Periode 1, Utan Kayu Utara ,Suhu,(Celcius),21.5,2.33
Periode 1, Utan Kayu Utara ,Bakteri Koli,(Jlm/100mL),"7,2 x 106",2.33
Periode 1, Cipinang ,Zat Padat Terlarut,(mg/L),285,1.62
Periode 1, Cipinang ,Kekeruhan,NTU,0.3,1.62
Periode 1, Cipinang ,Besi (Fe),(mg/L),0.08,1.62
Periode 1, Cipinang ,Fluorida,(mg/L),0.24,1.62
Periode 1, Cipinang ,Total Hardness,(mg/L),291.3,1.62
Periode 1, Cipinang ,Chlorida,(mg/L),52.27,1.62
Periode 1, Cipinang ,Mangan (Mn),(mg/L),0.05,1.62
Periode 1, Cipinang ,Nitrat,(mg/L),2.66,1.62
Periode 1, Cipinang ,Nitrit,(mg/L),0.016,1.62
Periode 1, Cipinang ,Ph,(mg/L),8.1,1.62
Periode 1, Cipinang ,Seng (Zn),(mg/L),0.01,1.62
Periode 1, Cipinang ,Sulfat,(mg/L),46.71,1.62
Periode 1, Cipinang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.62
Periode 1, Cipinang ,Organik (KMnO4),(mg/L),0.14,1.62
Periode 1, Cipinang ,Suhu,(Celcius),22.2,1.62
Periode 1, Cipinang ,Bakteri Koli,(Jlm/100mL),"2,32 x 104",1.62
Periode 1, Jati ,Zat Padat Terlarut,(mg/L),348,6.97
Periode 1, Jati ,Kekeruhan,NTU,2.9,6.97
Periode 1, Jati ,Besi (Fe),(mg/L),0.08,6.97
Periode 1, Jati ,Fluorida,(mg/L),0.29,6.97
Periode 1, Jati ,Total Hardness,(mg/L),291.3,6.97
Periode 1, Jati ,Chlorida,(mg/L),48.46,6.97
Periode 1, Jati ,Mangan (Mn),(mg/L),2.25,6.97
Periode 1, Jati ,Nitrat,(mg/L),3.79,6.97
Periode 1, Jati ,Nitrit,(mg/L),1.44,6.97
Periode 1, Jati ,Ph,(mg/L),7.8,6.97
Periode 1, Jati ,Seng (Zn),(mg/L),0.01,6.97
Periode 1, Jati ,Sulfat,(mg/L),46.4,6.97
Periode 1, Jati ,Senyawa Aktif Biru Metilen,(mg/L),0.05,6.97
Periode 1, Jati ,Organik (KMnO4),(mg/L),0.06,6.97
Periode 1, Jati ,Suhu,(Celcius),22.2,6.97
Periode 1, Jati ,Bakteri Koli,(Jlm/100mL),1100,6.97
Periode 1, Kayu Putih ,Zat Padat Terlarut,(mg/L),246,3.80
Periode 1, Kayu Putih ,Kekeruhan,NTU,0.01,3.80
Periode 1, Kayu Putih ,Besi (Fe),(mg/L),0.08,3.80
Periode 1, Kayu Putih ,Fluorida,(mg/L),0.21,3.80
Periode 1, Kayu Putih ,Total Hardness,(mg/L),239.13,3.80
Periode 1, Kayu Putih ,Chlorida,(mg/L),31.83,3.80
Periode 1, Kayu Putih ,Mangan (Mn),(mg/L),0.05,3.80
Periode 1, Kayu Putih ,Nitrat,(mg/L),3.93,3.80
Periode 1, Kayu Putih ,Nitrit,(mg/L),1.27,3.80
Periode 1, Kayu Putih ,Ph,(mg/L),7.4,3.80
Periode 1, Kayu Putih ,Seng (Zn),(mg/L),0.01,3.80
Periode 1, Kayu Putih ,Sulfat,(mg/L),45.5,3.80
Periode 1, Kayu Putih ,Senyawa Aktif Biru Metilen,(mg/L),0.03,3.80
Periode 1, Kayu Putih ,Organik (KMnO4),(mg/L),3.75,3.80
Periode 1, Kayu Putih ,Suhu,(Celcius),22.2,3.80
Periode 1, Kayu Putih ,Bakteri Koli,(Jlm/100mL),0,3.80
Periode 1, Pisangan Timur ,Zat Padat Terlarut,(mg/L),193,1.32
Periode 1, Pisangan Timur ,Kekeruhan,NTU,0.1,1.32
Periode 1, Pisangan Timur ,Besi (Fe),(mg/L),0.08,1.32
Periode 1, Pisangan Timur ,Fluorida,(mg/L),0.27,1.32
Periode 1, Pisangan Timur ,Total Hardness,(mg/L),156.52,1.32
Periode 1, Pisangan Timur ,Chlorida,(mg/L),40.39,1.32
Periode 1, Pisangan Timur ,Mangan (Mn),(mg/L),0.05,1.32
Periode 1, Pisangan Timur ,Nitrat,(mg/L),4.5,1.32
Periode 1, Pisangan Timur ,Nitrit,(mg/L),0.007,1.32
Periode 1, Pisangan Timur ,Ph,(mg/L),7.5,1.32
Periode 1, Pisangan Timur ,Seng (Zn),(mg/L),0.01,1.32
Periode 1, Pisangan Timur ,Sulfat,(mg/L),30.87,1.32
Periode 1, Pisangan Timur ,Senyawa Aktif Biru Metilen,(mg/L),0.04,1.32
Periode 1, Pisangan Timur ,Organik (KMnO4),(mg/L),0.6,1.32
Periode 1, Pisangan Timur ,Suhu,(Celcius),22.2,1.32
Periode 1, Pisangan Timur ,Bakteri Koli,(Jlm/100mL),400,1.32
Periode 1, SDN Pulogadung ,Zat Padat Terlarut,(mg/L),231,1.77
Periode 1, SDN Pulogadung ,Kekeruhan,NTU,0.01,1.77
Periode 1, SDN Pulogadung ,Besi (Fe),(mg/L),0.08,1.77
Periode 1, SDN Pulogadung ,Fluorida,(mg/L),0.31,1.77
Periode 1, SDN Pulogadung ,Total Hardness,(mg/L),252.17,1.77
Periode 1, SDN Pulogadung ,Chlorida,(mg/L),27.08,1.77
Periode 1, SDN Pulogadung ,Mangan (Mn),(mg/L),0.37,1.77
Periode 1, SDN Pulogadung ,Nitrat,(mg/L),0.39,1.77
Periode 1, SDN Pulogadung ,Nitrit,(mg/L),0.01,1.77
Periode 1, SDN Pulogadung ,Ph,(mg/L),7.4,1.77
Periode 1, SDN Pulogadung ,Seng (Zn),(mg/L),0.01,1.77
Periode 1, SDN Pulogadung ,Sulfat,(mg/L),41.96,1.77
Periode 1, SDN Pulogadung ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.77
Periode 1, SDN Pulogadung ,Organik (KMnO4),(mg/L),0.17,1.77
Periode 1, SDN Pulogadung ,Suhu,(Celcius),22.3,1.77
Periode 1, SDN Pulogadung ,Bakteri Koli,(Jlm/100mL),0,1.77
Periode 1, 209 Pulogadung ,Zat Padat Terlarut,(mg/L),233,1.00
Periode 1, 209 Pulogadung ,Kekeruhan,NTU,0.1,1.00
Periode 1, 209 Pulogadung ,Besi (Fe),(mg/L),0.08,1.00
Periode 1, 209 Pulogadung ,Fluorida,(mg/L),0.37,1.00
Periode 1, 209 Pulogadung ,Total Hardness,(mg/L),56.52,1.00
Periode 1, 209 Pulogadung ,Chlorida,(mg/L),35.16,1.00
Periode 1, 209 Pulogadung ,Mangan (Mn),(mg/L),0.08,1.00
Periode 1, 209 Pulogadung ,Nitrat,(mg/L),2.19,1.00
Periode 1, 209 Pulogadung ,Nitrit,(mg/L),0.03,1.00
Periode 1, 209 Pulogadung ,Ph,(mg/L),7.3,1.00
Periode 1, 209 Pulogadung ,Seng (Zn),(mg/L),0.01,1.00
Periode 1, 209 Pulogadung ,Sulfat,(mg/L),58.39,1.00
Periode 1, 209 Pulogadung ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.00
Periode 1, 209 Pulogadung ,Organik (KMnO4),(mg/L),0.14,1.00
Periode 1, 209 Pulogadung ,Suhu,(Celcius),22.2,1.00
Periode 1, 209 Pulogadung ,Bakteri Koli,(Jlm/100mL),0,1.00
Periode 1, Rwamangun ,Zat Padat Terlarut,(mg/L),168,1.06
Periode 1, Rwamangun ,Kekeruhan,NTU,0.01,1.06
Periode 1, Rwamangun ,Besi (Fe),(mg/L),0.08,1.06
Periode 1, Rwamangun ,Fluorida,(mg/L),0.19,1.06
Periode 1, Rwamangun ,Total Hardness,(mg/L),156.52,1.06
Periode 1, Rwamangun ,Chlorida,(mg/L),29.93,1.06
Periode 1, Rwamangun ,Mangan (Mn),(mg/L),0.05,1.06
Periode 1, Rwamangun ,Nitrat,(mg/L),2.83,1.06
Periode 1, Rwamangun ,Nitrit,(mg/L),0.005,1.06
Periode 1, Rwamangun ,Ph,(mg/L),7,1.06
Periode 1, Rwamangun ,Seng (Zn),(mg/L),0.01,1.06
Periode 1, Rwamangun ,Sulfat,(mg/L),28.35,1.06
Periode 1, Rwamangun ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.06
Periode 1, Rwamangun ,Organik (KMnO4),(mg/L),0.06,1.06
Periode 1, Rwamangun ,Suhu,(Celcius),22.3,1.06
Periode 1, Rwamangun ,Bakteri Koli,(Jlm/100mL),0,1.06
Periode 1, Jatinegara Kaum ,Zat Padat Terlarut,(mg/L),272,1.99
Periode 1, Jatinegara Kaum ,Kekeruhan,NTU,0.5,1.99
Periode 1, Jatinegara Kaum ,Besi (Fe),(mg/L),0.09,1.99
Periode 1, Jatinegara Kaum ,Fluorida,(mg/L),0.4,1.99
Periode 1, Jatinegara Kaum ,Total Hardness,(mg/L),229.79,1.99
Periode 1, Jatinegara Kaum ,Chlorida,(mg/L),29.34,1.99
Periode 1, Jatinegara Kaum ,Mangan (Mn),(mg/L),0.05,1.99
Periode 1, Jatinegara Kaum ,Nitrat,(mg/L),2.66,1.99
Periode 1, Jatinegara Kaum ,Nitrit,(mg/L),0.009,1.99
Periode 1, Jatinegara Kaum ,Ph,(mg/L),8.4,1.99
Periode 1, Jatinegara Kaum ,Seng (Zn),(mg/L),0.02,1.99
Periode 1, Jatinegara Kaum ,Sulfat,(mg/L),40.1,1.99
Periode 1, Jatinegara Kaum ,Senyawa Aktif Biru Metilen,(mg/L),0.04,1.99
Periode 1, Jatinegara Kaum ,Organik (KMnO4),(mg/L),3.64,1.99
Periode 1, Jatinegara Kaum ,Suhu,(Celcius),21.5,1.99
Periode 1, Jatinegara Kaum ,Bakteri Koli,(Jlm/100mL),600,1.99
Periode 1, Bidaracina ,Zat Padat Terlarut,(mg/L),198,1.12
Periode 1, Bidaracina ,Kekeruhan,NTU,1,1.12
Periode 1, Bidaracina ,Besi (Fe),(mg/L),0.08,1.12
Periode 1, Bidaracina ,Fluorida,(mg/L),0.11,1.12
Periode 1, Bidaracina ,Total Hardness,(mg/L),113.64,1.12
Periode 1, Bidaracina ,Chlorida,(mg/L),29.85,1.12
Periode 1, Bidaracina ,Mangan (Mn),(mg/L),0.05,1.12
Periode 1, Bidaracina ,Nitrat,(mg/L),3.12,1.12
Periode 1, Bidaracina ,Nitrit,(mg/L),0.003,1.12
Periode 1, Bidaracina ,Ph,(mg/L),7,1.12
Periode 1, Bidaracina ,Seng (Zn),(mg/L),0.78,1.12
Periode 1, Bidaracina ,Sulfat,(mg/L),39.31,1.12
Periode 1, Bidaracina ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.12
Periode 1, Bidaracina ,Organik (KMnO4),(mg/L),1.02,1.12
Periode 1, Bidaracina ,Suhu,(Celcius),22.8,1.12
Periode 1, Bidaracina ,Bakteri Koli,(Jlm/100mL),1800,1.12
Periode 1, Cipinang Besar Utara ,Zat Padat Terlarut,(mg/L),460,2.77
Periode 1, Cipinang Besar Utara ,Kekeruhan,NTU,1.7,2.77
Periode 1, Cipinang Besar Utara ,Besi (Fe),(mg/L),0.11,2.77
Periode 1, Cipinang Besar Utara ,Fluorida,(mg/L),0.05,2.77
Periode 1, Cipinang Besar Utara ,Total Hardness,(mg/L),431.82,2.77
Periode 1, Cipinang Besar Utara ,Chlorida,(mg/L),106.67,2.77
Periode 1, Cipinang Besar Utara ,Mangan (Mn),(mg/L),0.42,2.77
Periode 1, Cipinang Besar Utara ,Nitrat,(mg/L),1.69,2.77
Periode 1, Cipinang Besar Utara ,Nitrit,(mg/L),0.003,2.77
Periode 1, Cipinang Besar Utara ,Ph,(mg/L),7.9,2.77
Periode 1, Cipinang Besar Utara ,Seng (Zn),(mg/L),0.02,2.77
Periode 1, Cipinang Besar Utara ,Sulfat,(mg/L),54.06,2.77
Periode 1, Cipinang Besar Utara ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.77
Periode 1, Cipinang Besar Utara ,Organik (KMnO4),(mg/L),1.44,2.77
Periode 1, Cipinang Besar Utara ,Suhu,(Celcius),26.7,2.77
Periode 1, Cipinang Besar Utara ,Bakteri Koli,(Jlm/100mL),"1,85 x 104",2.77
Periode 1, Cipinang Muara ,Zat Padat Terlarut,(mg/L),145,0.81
Periode 1, Cipinang Muara ,Kekeruhan,NTU,1.1,0.81
Periode 1, Cipinang Muara ,Besi (Fe),(mg/L),0.08,0.81
Periode 1, Cipinang Muara ,Fluorida,(mg/L),0.19,0.81
Periode 1, Cipinang Muara ,Total Hardness,(mg/L),104.55,0.81
Periode 1, Cipinang Muara ,Chlorida,(mg/L),13.72,0.81
Periode 1, Cipinang Muara ,Mangan (Mn),(mg/L),0.05,0.81
Periode 1, Cipinang Muara ,Nitrat,(mg/L),0.89,0.81
Periode 1, Cipinang Muara ,Nitrit,(mg/L),0.005,0.81
Periode 1, Cipinang Muara ,Ph,(mg/L),7.7,0.81
Periode 1, Cipinang Muara ,Seng (Zn),(mg/L),0.46,0.81
Periode 1, Cipinang Muara ,Sulfat,(mg/L),48.42,0.81
Periode 1, Cipinang Muara ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.81
Periode 1, Cipinang Muara ,Organik (KMnO4),(mg/L),1.53,0.81
Periode 1, Cipinang Muara ,Suhu,(Celcius),26.7,0.81
Periode 1, Cipinang Muara ,Bakteri Koli,(Jlm/100mL),"2,16 x 104",0.81
Periode 1, Balimaster ,Zat Padat Terlarut,(mg/L),220,0.85
Periode 1, Balimaster ,Kekeruhan,NTU,0.1,0.85
Periode 1, Balimaster ,Besi (Fe),(mg/L),0.08,0.85
Periode 1, Balimaster ,Fluorida,(mg/L),0.17,0.85
Periode 1, Balimaster ,Total Hardness,(mg/L),150,0.85
Periode 1, Balimaster ,Chlorida,(mg/L),33.39,0.85
Periode 1, Balimaster ,Mangan (Mn),(mg/L),0.05,0.85
Periode 1, Balimaster ,Nitrat,(mg/L),3.29,0.85
Periode 1, Balimaster ,Nitrit,(mg/L),0.003,0.85
Periode 1, Balimaster ,Ph,(mg/L),6.5,0.85
Periode 1, Balimaster ,Seng (Zn),(mg/L),0.02,0.85
Periode 1, Balimaster ,Sulfat,(mg/L),26.78,0.85
Periode 1, Balimaster ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.85
Periode 1, Balimaster ,Organik (KMnO4),(mg/L),0.83,0.85
Periode 1, Balimaster ,Suhu,(Celcius),23.7,0.85
Periode 1, Balimaster ,Bakteri Koli,(Jlm/100mL),0,0.85
Periode 1, Cipinang Besar Selatan ,Zat Padat Terlarut,(mg/L),213,0.92
Periode 1, Cipinang Besar Selatan ,Kekeruhan,NTU,0.4,0.92
Periode 1, Cipinang Besar Selatan ,Besi (Fe),(mg/L),0.08,0.92
Periode 1, Cipinang Besar Selatan ,Fluorida,(mg/L),0.14,0.92
Periode 1, Cipinang Besar Selatan ,Total Hardness,(mg/L),177.27,0.92
Periode 1, Cipinang Besar Selatan ,Chlorida,(mg/L),39.62,0.92
Periode 1, Cipinang Besar Selatan ,Mangan (Mn),(mg/L),0.05,0.92
Periode 1, Cipinang Besar Selatan ,Nitrat,(mg/L),3.6,0.92
Periode 1, Cipinang Besar Selatan ,Nitrit,(mg/L),0.004,0.92
Periode 1, Cipinang Besar Selatan ,Ph,(mg/L),6.7,0.92
Periode 1, Cipinang Besar Selatan ,Seng (Zn),(mg/L),0.02,0.92
Periode 1, Cipinang Besar Selatan ,Sulfat,(mg/L),25.78,0.92
Periode 1, Cipinang Besar Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.92
Periode 1, Cipinang Besar Selatan ,Organik (KMnO4),(mg/L),1.26,0.92
Periode 1, Cipinang Besar Selatan ,Suhu,(Celcius),23.4,0.92
Periode 1, Cipinang Besar Selatan ,Bakteri Koli,(Jlm/100mL),200,0.92
Periode 1, Cipinang Cempedak ,Zat Padat Terlarut,(mg/L),223,1.37
Periode 1, Cipinang Cempedak ,Kekeruhan,NTU,0.2,1.37
Periode 1, Cipinang Cempedak ,Besi (Fe),(mg/L),0.08,1.37
Periode 1, Cipinang Cempedak ,Fluorida,(mg/L),0.19,1.37
Periode 1, Cipinang Cempedak ,Total Hardness,(mg/L),195.45,1.37
Periode 1, Cipinang Cempedak ,Chlorida,(mg/L),30.48,1.37
Periode 1, Cipinang Cempedak ,Mangan (Mn),(mg/L),0.05,1.37
Periode 1, Cipinang Cempedak ,Nitrat,(mg/L),3.82,1.37
Periode 1, Cipinang Cempedak ,Nitrit,(mg/L),0.006,1.37
Periode 1, Cipinang Cempedak ,Ph,(mg/L),6.7,1.37
Periode 1, Cipinang Cempedak ,Seng (Zn),(mg/L),0.01,1.37
Periode 1, Cipinang Cempedak ,Sulfat,(mg/L),40.92,1.37
Periode 1, Cipinang Cempedak ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.37
Periode 1, Cipinang Cempedak ,Organik (KMnO4),(mg/L),0.45,1.37
Periode 1, Cipinang Cempedak ,Suhu,(Celcius),23.7,1.37
Periode 1, Cipinang Cempedak ,Bakteri Koli,(Jlm/100mL),100,1.37
Periode 1, Kampung Melayu ,Zat Padat Terlarut,(mg/L),280,1.18
Periode 1, Kampung Melayu ,Kekeruhan,NTU,0.2,1.18
Periode 1, Kampung Melayu ,Besi (Fe),(mg/L),0.08,1.18
Periode 1, Kampung Melayu ,Fluorida,(mg/L),0.13,1.18
Periode 1, Kampung Melayu ,Total Hardness,(mg/L),163.64,1.18
Periode 1, Kampung Melayu ,Chlorida,(mg/L),86.36,1.18
Periode 1, Kampung Melayu ,Mangan (Mn),(mg/L),0.05,1.18
Periode 1, Kampung Melayu ,Nitrat,(mg/L),1.19,1.18
Periode 1, Kampung Melayu ,Nitrit,(mg/L),0.014,1.18
Periode 1, Kampung Melayu ,Ph,(mg/L),6.3,1.18
Periode 1, Kampung Melayu ,Seng (Zn),(mg/L),0.02,1.18
Periode 1, Kampung Melayu ,Sulfat,(mg/L),31.83,1.18
Periode 1, Kampung Melayu ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.18
Periode 1, Kampung Melayu ,Organik (KMnO4),(mg/L),1.05,1.18
Periode 1, Kampung Melayu ,Suhu,(Celcius),23.4,1.18
Periode 1, Kampung Melayu ,Bakteri Koli,(Jlm/100mL),0,1.18
Periode 1, Rawa Bunga ,Zat Padat Terlarut,(mg/L),153,0.78
Periode 1, Rawa Bunga ,Kekeruhan,NTU,0.9,0.78
Periode 1, Rawa Bunga ,Besi (Fe),(mg/L),0.08,0.78
Periode 1, Rawa Bunga ,Fluorida,(mg/L),0.26,0.78
Periode 1, Rawa Bunga ,Total Hardness,(mg/L),100,0.78
Periode 1, Rawa Bunga ,Chlorida,(mg/L),13.72,0.78
Periode 1, Rawa Bunga ,Mangan (Mn),(mg/L),0.05,0.78
Periode 1, Rawa Bunga ,Nitrat,(mg/L),2.26,0.78
Periode 1, Rawa Bunga ,Nitrit,(mg/L),0.003,0.78
Periode 1, Rawa Bunga ,Ph,(mg/L),7.2,0.78
Periode 1, Rawa Bunga ,Seng (Zn),(mg/L),0.01,0.78
Periode 1, Rawa Bunga ,Sulfat,(mg/L),40.75,0.78
Periode 1, Rawa Bunga ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.78
Periode 1, Rawa Bunga ,Organik (KMnO4),(mg/L),0.81,0.78
Periode 1, Rawa Bunga ,Suhu,(Celcius),23.8,0.78
Periode 1, Rawa Bunga ,Bakteri Koli,(Jlm/100mL),0,0.78
Periode 1, Kramat Jati ,Zat Padat Terlarut,(mg/L),146,1.04
Periode 1, Kramat Jati ,Kekeruhan,NTU,0.42,1.04
Periode 1, Kramat Jati ,Besi (Fe),(mg/L),0.08,1.04
Periode 1, Kramat Jati ,Fluorida,(mg/L),0.06,1.04
Periode 1, Kramat Jati ,Total Hardness,(mg/L),104.55,1.04
Periode 1, Kramat Jati ,Chlorida,(mg/L),28.95,1.04
Periode 1, Kramat Jati ,Mangan (Mn),(mg/L),0.102,1.04
Periode 1, Kramat Jati ,Nitrat,(mg/L),2.82,1.04
Periode 1, Kramat Jati ,Nitrit,(mg/L),0.004,1.04
Periode 1, Kramat Jati ,Ph,(mg/L),6.1,1.04
Periode 1, Kramat Jati ,Seng (Zn),(mg/L),0.04,1.04
Periode 1, Kramat Jati ,Sulfat,(mg/L),15.88,1.04
Periode 1, Kramat Jati ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.04
Periode 1, Kramat Jati ,Organik (KMnO4),(mg/L),1.13,1.04
Periode 1, Kramat Jati ,Suhu,(Celcius),24.8,1.04
Periode 1, Kramat Jati ,Bakteri Koli,(Jlm/100mL),0,1.04
Periode 1, Bale Kambang ,Zat Padat Terlarut,(mg/L),206,1.25
Periode 1, Bale Kambang ,Kekeruhan,NTU,1.8,1.25
Periode 1, Bale Kambang ,Besi (Fe),(mg/L),0.08,1.25
Periode 1, Bale Kambang ,Fluorida,(mg/L),0.05,1.25
Periode 1, Bale Kambang ,Total Hardness,(mg/L),172.73,1.25
Periode 1, Bale Kambang ,Chlorida,(mg/L),38.61,1.25
Periode 1, Bale Kambang ,Mangan (Mn),(mg/L),0.05,1.25
Periode 1, Bale Kambang ,Nitrat,(mg/L),1.79,1.25
Periode 1, Bale Kambang ,Nitrit,(mg/L),0.003,1.25
Periode 1, Bale Kambang ,Ph,(mg/L),6.7,1.25
Periode 1, Bale Kambang ,Seng (Zn),(mg/L),0.02,1.25
Periode 1, Bale Kambang ,Sulfat,(mg/L),2,1.25
Periode 1, Bale Kambang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.25
Periode 1, Bale Kambang ,Organik (KMnO4),(mg/L),1.85,1.25
Periode 1, Bale Kambang ,Suhu,(Celcius),24.7,1.25
Periode 1, Bale Kambang ,Bakteri Koli,(Jlm/100mL),0,1.25
Periode 1, Kelurahan Tengah ,Zat Padat Terlarut,(mg/L),239,1.73
Periode 1, Kelurahan Tengah ,Kekeruhan,NTU,0.7,1.73
Periode 1, Kelurahan Tengah ,Besi (Fe),(mg/L),0.08,1.73
Periode 1, Kelurahan Tengah ,Fluorida,(mg/L),0.18,1.73
Periode 1, Kelurahan Tengah ,Total Hardness,(mg/L),227.27,1.73
Periode 1, Kelurahan Tengah ,Chlorida,(mg/L),37.59,1.73
Periode 1, Kelurahan Tengah ,Mangan (Mn),(mg/L),0.16,1.73
Periode 1, Kelurahan Tengah ,Nitrat,(mg/L),0.03,1.73
Periode 1, Kelurahan Tengah ,Nitrit,(mg/L),0.004,1.73
Periode 1, Kelurahan Tengah ,Ph,(mg/L),6.8,1.73
Periode 1, Kelurahan Tengah ,Seng (Zn),(mg/L),0.03,1.73
Periode 1, Kelurahan Tengah ,Sulfat,(mg/L),50.75,1.73
Periode 1, Kelurahan Tengah ,Senyawa Aktif Biru Metilen,(mg/L),0.05,1.73
Periode 1, Kelurahan Tengah ,Organik (KMnO4),(mg/L),2.84,1.73
Periode 1, Kelurahan Tengah ,Suhu,(Celcius),24.9,1.73
Periode 1, Kelurahan Tengah ,Bakteri Koli,(Jlm/100mL),230,1.73
Periode 1, Batu Ampar ,Zat Padat Terlarut,(mg/L),186,1.57
Periode 1, Batu Ampar ,Kekeruhan,NTU,17.5,1.57
Periode 1, Batu Ampar ,Besi (Fe),(mg/L),0.08,1.57
Periode 1, Batu Ampar ,Fluorida,(mg/L),0.11,1.57
Periode 1, Batu Ampar ,Total Hardness,(mg/L),159.09,1.57
Periode 1, Batu Ampar ,Chlorida,(mg/L),24.89,1.57
Periode 1, Batu Ampar ,Mangan (Mn),(mg/L),0.05,1.57
Periode 1, Batu Ampar ,Nitrat,(mg/L),0.09,1.57
Periode 1, Batu Ampar ,Nitrit,(mg/L),0.003,1.57
Periode 1, Batu Ampar ,Ph,(mg/L),7,1.57
Periode 1, Batu Ampar ,Seng (Zn),(mg/L),0.02,1.57
Periode 1, Batu Ampar ,Sulfat,(mg/L),43.57,1.57
Periode 1, Batu Ampar ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.57
Periode 1, Batu Ampar ,Organik (KMnO4),(mg/L),1.45,1.57
Periode 1, Batu Ampar ,Suhu,(Celcius),24.6,1.57
Periode 1, Batu Ampar ,Bakteri Koli,(Jlm/100mL),1300,1.57
Periode 1, Cililitan ,Zat Padat Terlarut,(mg/L),120,0.87
Periode 1, Cililitan ,Kekeruhan,NTU,0.2,0.87
Periode 1, Cililitan ,Besi (Fe),(mg/L),0.08,0.87
Periode 1, Cililitan ,Fluorida,(mg/L),0.04,0.87
Periode 1, Cililitan ,Total Hardness,(mg/L),59.09,0.87
Periode 1, Cililitan ,Chlorida,(mg/L),30.35,0.87
Periode 1, Cililitan ,Mangan (Mn),(mg/L),0.09,0.87
Periode 1, Cililitan ,Nitrat,(mg/L),3.96,0.87
Periode 1, Cililitan ,Nitrit,(mg/L),0.003,0.87
Periode 1, Cililitan ,Ph,(mg/L),5.7,0.87
Periode 1, Cililitan ,Seng (Zn),(mg/L),0.06,0.87
Periode 1, Cililitan ,Sulfat,(mg/L),12.38,0.87
Periode 1, Cililitan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.87
Periode 1, Cililitan ,Organik (KMnO4),(mg/L),0.71,0.87
Periode 1, Cililitan ,Suhu,(Celcius),23.1,0.87
Periode 1, Cililitan ,Bakteri Koli,(Jlm/100mL),0,0.87
Periode 1, Dukuh ,Zat Padat Terlarut,(mg/L),116,1.00
Periode 1, Dukuh ,Kekeruhan,NTU,0.3,1.00
Periode 1, Dukuh ,Besi (Fe),(mg/L),0.08,1.00
Periode 1, Dukuh ,Fluorida,(mg/L),0.11,1.00
Periode 1, Dukuh ,Total Hardness,(mg/L),86.36,1.00
Periode 1, Dukuh ,Chlorida,(mg/L),19.73,1.00
Periode 1, Dukuh ,Mangan (Mn),(mg/L),0.17,1.00
Periode 1, Dukuh ,Nitrat,(mg/L),2.96,1.00
Periode 1, Dukuh ,Nitrit,(mg/L),0.003,1.00
Periode 1, Dukuh ,Ph,(mg/L),6.4,1.00
Periode 1, Dukuh ,Seng (Zn),(mg/L),0.08,1.00
Periode 1, Dukuh ,Sulfat,(mg/L),9.24,1.00
Periode 1, Dukuh ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.00
Periode 1, Dukuh ,Organik (KMnO4),(mg/L),0.55,1.00
Periode 1, Dukuh ,Suhu,(Celcius),23.2,1.00
Periode 1, Dukuh ,Bakteri Koli,(Jlm/100mL),1500,1.00
Periode 1, Cawang ,Zat Padat Terlarut,(mg/L),207,9.22
Periode 1, Cawang ,Kekeruhan,NTU,54.8,9.22
Periode 1, Cawang ,Besi (Fe),(mg/L),8.24,9.22
Periode 1, Cawang ,Fluorida,(mg/L),0.07,9.22
Periode 1, Cawang ,Total Hardness,(mg/L),190.91,9.22
Periode 1, Cawang ,Chlorida,(mg/L),43.51,9.22
Periode 1, Cawang ,Mangan (Mn),(mg/L),0.6,9.22
Periode 1, Cawang ,Nitrat,(mg/L),0.32,9.22
Periode 1, Cawang ,Nitrit,(mg/L),0.007,9.22
Periode 1, Cawang ,Ph,(mg/L),6.9,9.22
Periode 1, Cawang ,Seng (Zn),(mg/L),0.02,9.22
Periode 1, Cawang ,Sulfat,(mg/L),15.05,9.22
Periode 1, Cawang ,Senyawa Aktif Biru Metilen,(mg/L),0.07,9.22
Periode 1, Cawang ,Organik (KMnO4),(mg/L),1.23,9.22
Periode 1, Cawang ,Suhu,(Celcius),23.6,9.22
Periode 1, Cawang ,Bakteri Koli,(Jlm/100mL),0,9.22
